Department,Host,IP Address,OS,Function
Finance,was-fin-web,172.57.191.179,Mac,web
Sales,was-sales-fw,172.130.30.89,Cisco,firewall
Finance,por-fin-web,10.37.13.57,Windows,web
InformationTech,mia-it-fw,10.127.133.121,Juniper,firewall
Finance,chi-fin-db,10.211.99.197,MySQL,database
Marketing,chi-mkt-web,172.93.126.66,Mac,web
InformationTech,mia-it-fw,10.125.114.74,Juniper,firewall
Research,mia-res-rtr,10.100.18.24,Juniper,router
InformationTech,was-it-web,10.174.154.23,Linux,web
Research,por-res-web,172.240.244.74,Mac,web
Finance,por-fin-web,172.140.243.153,Mac,web
Security,mia-sec-app,172.128.192.106,Linux,application
Security,was-sec-app,172.74.211.243,Mac,application
Sales,was-sales-rtr,172.187.131.157,Juniper,router
Security,was-sec-sw,10.177.120.205,Fortinet,switch
Marketing,por-mkt-sw,192.165.58.181,Fortinet,switch
Sales,mia-sales-sw,10.204.45.242,Fortinet,switch
Marketing,mia-mkt-sw,192.56.160.229,Cisco,switch
Finance,por-fin-db,172.210.65.180,MS SQL,database
InformationTech,mia-it-db,10.2.101.225,Postgres,database
Security,por-sec-web,192.193.142.198,Mac,web
InformationTech,chi-it-rtr,192.146.205.61,Fortinet,router
Sales,por-sales-app,10.156.247.216,Mac,application
Security,mia-sec-db,192.91.97.156,MySQL,database
Sales,was-sales-db,10.4.92.144,MariaDB,database
Marketing,por-mkt-db,10.138.148.104,MS SQL,database
InformationTech,por-it-db,10.211.27.95,MySQL,database
Finance,mia-fin-web,10.132.182.165,Linux,web
Marketing,mia-mkt-db,10.91.250.156,MySQL,database
InformationTech,mia-it-web,192.200.128.195,Mac,web
Security,mia-sec-app,192.189.90.113,Windows,application
Security,por-sec-db,172.73.89.224,Oracle,database
Research,por-res-sw,172.172.173.197,Cisco,switch
Finance,por-fin-db,192.58.140.114,Oracle,database
Finance,chi-fin-fw,192.147.213.17,Cisco,firewall
Marketing,was-mkt-web,172.237.251.153,Mac,web
InformationTech,chi-it-web,172.215.175.119,Mac,web
Sales,por-sales-sw,10.10.171.41,Cisco,switch
InformationTech,was-it-app,172.154.30.102,Linux,application
InformationTech,was-it-web,10.144.0.248,Mac,web
Finance,chi-fin-rtr,10.143.130.47,Cisco,router
Marketing,chi-mkt-sw,192.250.190.244,Brocade,switch
Marketing,chi-mkt-rtr,192.233.98.225,Fortinet,router
Finance,chi-fin-web,10.149.241.116,Linux,web
Security,was-sec-web,192.64.224.30,Windows,web
Sales,chi-sales-fw,192.212.213.60,Cisco,firewall
Finance,por-fin-db,192.232.53.68,MySQL,database
Finance,mia-fin-sw,10.113.104.36,Brocade,switch
